057905104,WILLIAM M ANDERSON EL,97.13, ChIJCbZ4NlO7ToYRv7DYsyn6ETw
057905105,ARCADIA PARK EL,96.33, ChIJqe794iWbToYRjwbEYrqUy68
057905107,JOSE 'JOE' MAY EL,96.24, ChIJn_6JKTadToYROcaO8wodk6c
057905108,BAYLES EL,98.00, ChIJW0n6KS2iToYRr3_cVUo--SE
057905109,W A BLAIR EL,86.67, ChIJiUIVoci8ToYRCk6ojehYKI0
057905110,ANNIE WEBB BLANTON EL,91.71, ChIJ8Tt5hmOjToYR7Bcjq3oIhuE
057905112,JAMES BOWIE EL,97.38, ChIJJWU3uJiZToYRE0wKZjsTyH4
057905114,JOHN NEELY BRYAN EL,88.86, ChIJyfQ2wH6XToYR2yZu_Nj9ig8
057905115,HARRELL BUDD EL,70.11, ChIJw4-DCueZToYRMo0xjr6MsII
057905116,DAVID G BURNET EL,98.76, ChIJx3XbwRCdToYRnWCp4xL_JhI
057905117,RUFUS C BURLESON EL,98.77, ChIJge9Itiy9ToYR-vHQYAORrY0
057905118,W W BUSHMAN EL,98.35, ChIJS3r-WIyXToYRBFAAukHzR_c
057905119,CHAPEL HILL PREPARATORY,93.19, ChIJP0rwUBAnTIYRXWKcZWIjvv8
057905120,F P CAILLET EL,93.30, ChIJO5d-UYCdToYR-YDbgXsW4qU
057905121,JOHN W CARPENTER EL,94.44, ChIJUzXtO7yQToYRBcZRMKb65hQ
057905122,C F CARR EL,92.10, ChIJ1w6Rtu2bToYRK8duiDqPY5Q
057905125,CASA VIEW EL,85.34, ChIJqY9aRCWhToYRVAkz_MJh21w
057905126,CENTRAL EL,88.37, ChIJHU0WH0YmTIYRyeCvJ4beYyw
057905128,MARTIN LUTHER KING JR LEARNING CENTER,100.00,ChIJzQmnh1-YToYRbP0_iGOLBQo
057905129,S S CONNER EL,87.11, ChIJUx1FONijToYRrHkCutOX48w
057905130,LEILA P COWART EL,95.46, ChIJu7eOfWaaToYRvEfk7uueNE8
057905131,IGNACIO ZARAGOZA EL,96.01, ChIJjYpzAsiYToYRG6uUWtbh03g
057905133,BARBARA JORDAN EL,98.30, ChIJVwg-ta6QToYRqiO7jyyEUxE
057905134,GEORGE B DEALEY MONTESSORI ACADEMY,32.95, ChIJY_IP4n8gTIYRG5ZCmixld1M
057905135,EVERETTE LEE DEGOLYER EL,63.86, ChIJb-_XwGgnTIYREzlSvha4U1E
057905136,L O DONALD EL,91.59, ChIJE2qV0_KaToYRiu_a1i_Bucw
057905137,JULIUS DORSEY EL,90.83, ChIJWYD50lC7ToYRIqcATciiii4
057905139,PAUL L DUNBAR LEARNING CENTER,97.69, ChIJOUud4HeiToYRppIj8dCsmFc
057905141,JILL STONE EL AT VICKERY MEADOW,99.45, ChIJR9gwKIifToYRiqxh0Dnd0Kw
057905142,J N ERVIN EL,96.61, ChIJUeW-BM-XToYR_i71KjuuZzA
057905144,TOM W FIELD EL,96.11, ChIJFwzl4_AnTIYRAeCBxsgftUc
057905145,STEPHEN C FOSTER EL,89.97, ChIJ6Z2EjeqdToYRbfVqhm1eOxA
057905147,CHARLES A GILL EL,89.57, ChIJp2HKb82mToYR9YgOQA-TI3g
057905148,TOM C GOOCH EL,90.41, ChIJU7sXeDcnTIYRZfH4OuulXYI
057905149,LENORE KIRK HALL EL,92.88, ChIJjYAIw4iaToYR_pI6UhyUX40
057905152,MARGARET B HENDERSON EL,91.88, ChIJ5fX11hqaToYR-STaHYw9eLQ
057905153,VICTOR H HEXTER EL,62.41, ChIJG15DSqqhToYRQy0qmeCkUHM
057905154,LARRY G SMITH EL,92.33, ChIJeTVC_7WmToYRaMY42Jk4PB4
057905155,C A TATUM JR EL,97.60, ChIJ1XEpWYakToYRuUysNFdx7JE
057905156,NATHANIEL HAWTHORNE EL,97.17, ChIJM7WNPD6jToYR-QeUUgPJn98
057905157,JAMES S HOGG EL,93.38, ChIJIfCKuIKZToYRzmC9qqTFC68
057905158,LIDA HOOE EL,89.91, ChIJnWhDOEeaToYRGD7ZSzkDPOY
057905159,L L HOTCHKISS EL,99.32, ChIJnWWocS6gToYRv5wtt4XgBgo
